Product N,Medication Code,Product Name,Sub Category 1,Sub Category 2,Product ID,Formulation,Strength,Base Rate,NHIA App,NHIA Claim Co-Payment,Claim Amount,NHIA Claim,Bill Effective,Insurance Covered,Is Active
Glimepiride Tablet 1 mg (GLIMEPTA1 | Glimepiride Tablet 1 mg),GLIMEPTA1,Glimepiride Tablet 1 mg,4,Pharmacy,,Tablet,1 mg,0.0,,0.0,1.1,,01-03-2025,yes,True
Glimepiride Tablet 3 mg (GLIMEPTA3 | Glimepiride Tablet 3 mg),GLIMEPTA3,Glimepiride Tablet 3 mg,4,Pharmacy,,Tablet,3 mg,0.0,,0.0,1.57,,01-03-2025,yes,True
Glimepiride Tablet 4 mg (GLIMEPTA4 | Glimepiride Tablet 4 mg),GLIMEPTA4,Glimepiride Tablet 4 mg,4,Pharmacy,,Tablet,4 mg,0.0,,0.0,0.24,,01-03-2025,yes,True
Human Immune Tetanus Globulins Injection 500 IU/mL (HUIMTEIN2 | Human Immune Tetanus Globulins Injection 500 IU/mL),HUIMTEIN2,Human Immune Tetanus Globulins Injection 500 IU/mL,4,Pharmacy,,Injection,500 IU,0.0,,0.0,42.85,,01-03-2025,yes,True
Intralipid Solution (for TPN) (INTRALSO1 | Intralipid Solution (for TPN)),INTRALSO1,Intralipid Solution (for TPN),4,Pharmacy,,Solution,,0.0,,0.0,165.0,,01-03-2025,yes,True
Iron Sucrose Injection 20 mg/mL (IROSUCIN1 | Iron Sucrose Injection 20 mg/mL),IROSUCIN1,Iron Sucrose Injection 20 mg/mL,4,Pharmacy,,Injection,20 mg,0.0,,0.0,60.5,,01-03-2025,yes,True
Isophane Insulin Injection (HM) 100 units/mL in 10 mL (ISOINSIN1 | Isophane Insulin Injection (HM) 100 units/mL in 10 mL),ISOINSIN1,Isophane Insulin Injection (HM) 100 units/mL in 10 mL,4,Pharmacy,,Injection,100 units,0.0,,0.0,100.1,,01-03-2025,yes,True
Lamotrigine Tablet 100 mg (LAMOTRTA1 | Lamotrigine Tablet 100 mg),LAMOTRTA1,Lamotrigine Tablet 100 mg,4,Pharmacy,,Tablet,100 mg,0.0,,0.0,2.05,,01-03-2025,yes,True
Levofloxacin infusion 500mg (LEVOFLIN1 | Levofloxacin infusion 500mg),LEVOFLIN1,Levofloxacin infusion 500mg,4,Pharmacy,,Infusion,500mg,0.0,,0.0,189.64,,01-03-2025,yes,True
Lisinopril + Hydrochlorthiazide Tablet (10 mg + 12.5 mg) (LISHYDTA1 | Lisinopril + Hydrochlorthiazide Tablet (10 mg + 12.5 mg)),LISHYDTA1,Lisinopril + Hydrochlorthiazide Tablet (10 mg + 12.5 mg),4,Pharmacy,,Tablet,(10 mg + 12.5 mg),0.0,,0.0,1.26,,01-03-2025,yes,True
Lisinopril Tablet 2.5 mg (LISINOTA1 | Lisinopril Tablet 2.5 mg),LISINOTA1,Lisinopril Tablet 2.5 mg,4,Pharmacy,,Tablet,2.5 mg,0.0,,0.0,0.47,,01-03-2025,yes,True
