Product N,Medication Code,Product Name,Sub Category 1,Sub Category 2,Product ID,Formulation,Strength,Base Rate,NHIA App,NHIA Claim Co-Payment,Claim Amount,NHIA Claim,Bill Effective,Insurance Covered,Is Active
"	Tranexamic Acid Injection 500mg (TRAACIIN1 | 	Tranexamic Acid Injection 500mg)",TRAACIIN1,"	Tranexamic Acid Injection 500mg",4,Pharmacy,533,Injection,500 mg/5mL,27,,0,,,,no,TRUE
,,,,,,,,0,,0,,,,no,TRUE
,,,11,Non-Consumables,1073,,,0,,0,,,,no,TRUE
 (1100 | ),1100,,9,Non-Drug Consumables,1100,,,4,,0,,,,no,TRUE
 (M000626 | ),M000626,,4,Pharmacy,1153,0,,0,,0,,,,no,TRUE
1 GANG 1 WAY SWITCH (NA | 1 GANG 1 WAY SWITCH) (965 | 1 GANG 1 WAY SWITCH (NA | 1 GANG 1 WAY SWITCH)),965,1 GANG 1 WAY SWITCH (NA | 1 GANG 1 WAY SWITCH),11,Non-Consumables,965,,,0,,0,,,,no,TRUE
1 GANG 2 WAY SWITCH (NA | 1 GANG 2 WAY SWITCH) (966 | 1 GANG 2 WAY SWITCH (NA | 1 GANG 2 WAY SWITCH)),966,1 GANG 2 WAY SWITCH (NA | 1 GANG 2 WAY SWITCH),11,Non-Consumables,966,,,0,,0,,,,no,TRUE
1 GANG 3 WAY SWITCH (NA | 1 GANG 3 WAY SWITCH) (967 | 1 GANG 3 WAY SWITCH (NA | 1 GANG 3 WAY SWITCH)),967,1 GANG 3 WAY SWITCH (NA | 1 GANG 3 WAY SWITCH),11,Non-Consumables,967,,,0,,0,,,,no,TRUE
11/4 screw (NA | NA) (1128 | 11/4 screw (NA | NA)),1128,11/4 screw (NA | NA),11,Non-Consumables,1128,,,0,,0,,,,no,TRUE
13A SOCKET DOUBLE (NA | 13A SOCKET DOUBLE) (968 | 13A SOCKET DOUBLE (NA | 13A SOCKET DOUBLE)),968,13A SOCKET DOUBLE (NA | 13A SOCKET DOUBLE),11,Non-Consumables,968,,,0,,0,,,,no,TRUE
13A SOCKET SINGLE (NA | 13A SOCKET SINGLE) (969 | 13A SOCKET SINGLE (NA | 13A SOCKET SINGLE)),969,13A SOCKET SINGLE (NA | 13A SOCKET SINGLE),11,Non-Consumables,969,,,0,,0,,,,no,TRUE
13AMP PLUG TOP (NA | 13AMP PLUG TOP) (970 | 13AMP PLUG TOP (NA | 13AMP PLUG TOP)),970,13AMP PLUG TOP (NA | 13AMP PLUG TOP),11,Non-Consumables,970,,,0,,0,,,,no,TRUE
15AMP PLUG TOP (NA | 15AMP PLUG TOP) (971 | 15AMP PLUG TOP (NA | 15AMP PLUG TOP)),971,15AMP PLUG TOP (NA | 15AMP PLUG TOP),11,Non-Consumables,971,,,0,,0,,,,no,TRUE
3 core flexible cable (NA | NA) (1126 | 3 core flexible cable (NA | NA)),1126,3 core flexible cable (NA | NA),11,Non-Consumables,1126,,,0,,0,,,,no,TRUE
3/4 SCREW (NA | NA) (1129 | 3/4 SCREW (NA | NA)),1129,3/4 SCREW (NA | NA),11,Non-Consumables,1129,,,0,,0,,,,no,TRUE
5-Fluorouracil  (5FLUORIN1 | 5-Fluorouracil ),5FLUORIN1,5-Fluorouracil  (5FLUORIN1 | 5-Fluorouracil ),4,Pharmacy,547,Injection,50 mg/mL,0,,0,20.4,,1/2/2023,yes,TRUE
6 MM CABLE (NA | NA) (1131 | 6 MM CABLE (NA | NA)),1131,6 MM CABLE (NA | NA),11,Non-Consumables,1131,,,0,,0,,,,no,TRUE
A4 SHEETS (NA | A4 SHEETS) (858 | A4 SHEETS (NA | A4 SHEETS)),858,A4 SHEETS (NA | A4 SHEETS),10,Stationery,858,,,0,,0,,,,no,TRUE
ABDOMINAL SPONGE (NA | ABDOMINAL SPONGE) (609 | ABDOMINAL SPONGE (NA | ABDOMINAL SPONGE)),609,ABDOMINAL SPONGE (NA | ABDOMINAL SPONGE),5,Consumables,609,,,1.5,,0,,,,no,TRUE
AC SWITCH (NA | AC SWITCH) (972 | AC SWITCH (NA | AC SWITCH)),972,AC SWITCH (NA | AC SWITCH),11,Non-Consumables,972,,,0,,0,,,,no,TRUE
Aceclofenac Tablet 100mg (M000550 | Aceclofenac Tablet 100mg),M000550,Aceclofenac Tablet 100mg,4,Pharmacy,548,Tablet,100mg,1,,0,,,,no,TRUE
Acetazolamide Injection 500mg (ACETAZIN1 | Acetazolamide Injection 500mg),ACETAZIN1,Acetazolamide Injection 500mg,4,Pharmacy,2,Injection,500 mg,0,,0,17.16,,1/3/2025,yes,TRUE
Acetazolamide Tablet 250mg (ACETAZTA1 | Acetazolamide Tablet 250mg),ACETAZTA1,Acetazolamide Tablet 250mg,4,Pharmacy,3,Tablet,250 mg,0.9,,0,0.88,,1/3/2025,yes,TRUE
ACETIC ACID (NA | NA) (1110 | ACETIC ACID (NA | NA)),1110,ACETIC ACID (NA | NA),7,Laboratory Consumables,1110,,,0,,0,,,,no,TRUE
ACETORTE PAPER (NA | ACETORTE PAPER) (973 | ACETORTE PAPER (NA | ACETORTE PAPER)),973,ACETORTE PAPER (NA | ACETORTE PAPER),11,Non-Consumables,973,,,0,,0,,,,no,TRUE
Acetylcysteine  (ACETYLIN1 | Acetylcysteine ),ACETYLIN1,Acetylcysteine  (ACETYLIN1 | Acetylcysteine ),4,Pharmacy,4,Injection,200 mg/mL,0,,0,62.98,,1/3/2025,yes,TRUE
Acetylsalicylic Acid  (ACETYLTA1 | Acetylsalicylic Acid ),ACETYLTA1,Acetylsalicylic Acid  (ACETYLTA1 | Acetylsalicylic Acid ),4,Pharmacy,5,Tablet,300 mg,0,,0,0.55,,1/3/2025,yes,TRUE
Acetylsalicylic Acid Tablet 75mg (ACETYLDT1 | Acetylsalicylic Acid Tablet 75mg),ACETYLDT1,Acetylsalicylic Acid Tablet 75mg,4,Pharmacy,6,Tablet,75 mg Disp.,0.4,,0,0.33,,1/3/2025,yes,TRUE
Actinomycin D  (ACTINOIN1 | Actinomycin D ),ACTINOIN1,Actinomycin D  (ACTINOIN1 | Actinomycin D ),4,Pharmacy,8,Injection,0.5 mg,0,,0,106.92,,1/2/2023,yes,TRUE
Activated Charcoal  (ACTCHAPO1 | Activated Charcoal ),ACTCHAPO1,Activated Charcoal  (ACTCHAPO1 | Activated Charcoal ),4,Pharmacy,7,Powder,50 g,2,,0,38.56,,1/3/2025,yes,TRUE
Acyclovir  (0.03) (ACICLOEO1 | Acyclovir ),ACICLOEO1,Acyclovir  (0.03) (ACICLOEO1 | Acyclovir ),4,Pharmacy,10,Ointment,0.03,63,,0,52.03,,1/3/2025,yes,TRUE
Acyclovir  (250 mg) (ACICLOIN1 | Acyclovir ),ACICLOIN1,Acyclovir  (250 mg) (ACICLOIN1 | Acyclovir ),4,Pharmacy,11,Injection,250 mg,0,,0,136.13,,1/3/2025,yes,TRUE
Acyclovir  (ACICLOCR1 | Acyclovir ),ACICLOCR1,Acyclovir  (ACICLOCR1 | Acyclovir ),4,Pharmacy,9,Cream,0.05,47,,0,38.5,,1/3/2025,yes,TRUE
Acyclovir (200 mg) (ACICLOTA1 | Acyclovir),ACICLOTA1,Acyclovir (200 mg) (ACICLOTA1 | Acyclovir),4,Pharmacy,13,Tablet,200 mg,2.4,,0,1.98,,1/3/2025,yes,TRUE
Acyclovir (200 mg/5 mL) (ACICLOSU2 | Acyclovir),ACICLOSU2,Acyclovir (200 mg/5 mL) (ACICLOSU2 | Acyclovir),4,Pharmacy,12,Suspension,200 mg/5 mL,0,,0,276.91,,1/3/2025,yes,TRUE
ADAPTERS (NA | NA) (1220 | ADAPTERS (NA | NA)),1220,ADAPTERS (NA | NA),9,Non-Drug Consumables,1220,,,0,,0,,,,no,TRUE
ADMISSION & DISCHARGE REG (NA | ADMISSION & DISCHARGE REG) (859 | ADMISSION & DISCHARGE REG (NA | ADMISSION & DISCHARGE REG)),859,ADMISSION & DISCHARGE REG (NA | ADMISSION & DISCHARGE REG),10,Stationery,859,,,0,,0,,,,no,TRUE
Adrenaline Injection1:1000 1mg/ml (ADRENAIN1 | Adrenaline Injection1:1000 1mg/ml),ADRENAIN1,Adrenaline Injection1:1000 1mg/ml,4,Pharmacy,14,Injection,1 mg/1mL 1:1000,10,,3,7.7,,1/3/2025,yes,TRUE
Adriamycin (ADRIAMIN1 | Adriamycin),ADRIAMIN1,Adriamycin (ADRIAMIN1 | Adriamycin),4,Pharmacy,16,Injection,50 mg,0,,0,146.64,,1/2/2023,yes,TRUE
ADULT NAME TAG (NA | ADULT NAME TAG) (703 | ADULT NAME TAG (NA | ADULT NAME TAG)),703,ADULT NAME TAG (NA | ADULT NAME TAG),9,Non-Drug Consumables,703,,,0,,0,,,,no,TRUE
ADULT STETHOSCOPE (NA | NA) (1118 | ADULT STETHOSCOPE (NA | NA)),1118,ADULT STETHOSCOPE (NA | NA),11,Non-Consumables,1118,,,0,,0,,,,no,TRUE
AFTER WASH (NA | NA) (1365 | AFTER WASH (NA | NA)),1365,AFTER WASH (NA | NA),6,Disinfectants,1365,,,0,,0,,,,no,TRUE
AIR CONDITION VARIOUS (NA | AIR CONDITION) (974 | AIR CONDITION VARIOUS (NA | AIR CONDITION)),974,AIR CONDITION VARIOUS (NA | AIR CONDITION),11,Non-Consumables,974,,,0,,0,,,,no,TRUE
Albendazole  (200 mg) (ALBENDTA1 | Albendazole ),ALBENDTA1,Albendazole  (200 mg) (ALBENDTA1 | Albendazole ),4,Pharmacy,18,Tablet,200 mg,0,,0,,,,no,TRUE
Albendazole  (ALBENDSY1 | Albendazole ),ALBENDSY1,Albendazole  (ALBENDSY1 | Albendazole ),4,Pharmacy,17,Syrup,100 mg/5 mL,5,,1,4.1,,1/3/2025,yes,TRUE
Albendazole 400mg Tablet (ALBENDTA2 | Albendazole 400mg Tablet),ALBENDTA2,Albendazole 400mg Tablet,4,Pharmacy,19,Tablet,400 mg,3,,1,1.17,,1/3/2025,yes,TRUE
ALCAINE (PROPARACAINE) (M000551 | ALCAINE (PROPARACAINE)) (549 | ALCAINE (PROPARACAINE) (M000551 | ALCAINE (PROPARACAINE))),549,ALCAINE (PROPARACAINE) (M000551 | ALCAINE (PROPARACAINE)),4,Pharmacy,549,0,0.005,0,,0,,,,no,TRUE
Allopurinol  (300 mg) (ALLOPUTA2 | Allopurinol ),ALLOPUTA2,Allopurinol  (300 mg) (ALLOPUTA2 | Allopurinol ),4,Pharmacy,21,Tablet,300 mg,0,,0,1.1,,1/3/2025,yes,TRUE
Allopurinol  (ALLOPUTA1 | Allopurinol ),ALLOPUTA1,Allopurinol  (ALLOPUTA1 | Allopurinol ),4,Pharmacy,20,Tablet,100 mg,0,,0,0.94,,1/3/2025,yes,TRUE
ALUMINIUM HYDROXIDE  (M000552 | ALUMINIUM HYDROXIDE ),M000552,ALUMINIUM HYDROXIDE  (M000552 | ALUMINIUM HYDROXIDE ),4,Pharmacy,550,Tablet,500mg,0.3,,0,,,,no,TRUE
AMBU BAG (INFANT) (NA | NA) (1338 | AMBU BAG (INFANT) (NA | NA)),1338,AMBU BAG (INFANT) (NA | NA),9,Non-Drug Consumables,1338,,,0,,0,,,,no,TRUE
AMBU BAG (NA | AMBU BAG) (704 | AMBU BAG (NA | AMBU BAG)),704,AMBU BAG (NA | AMBU BAG),9,Non-Drug Consumables,704,,,0,,0,,,,no,TRUE
AMBU BAG (NEONATE) (NA | NA) (1337 | AMBU BAG (NEONATE) (NA | NA)),1337,AMBU BAG (NEONATE) (NA | NA),9,Non-Drug Consumables,1337,,,0,,0,,,,no,TRUE
Amino Acid Solution  (0.2) (AMIACIIN2 | Amino Acid Solution ),AMIACIIN2,Amino Acid Solution  (0.2) (AMIACIIN2 | Amino Acid Solution ),4,Pharmacy,23,Injection,0.2,0,,0,43.68,,1/2/2023,yes,TRUE
Amino Acid Solution  (AMIACIIN1 | Amino Acid Solution ),AMIACIIN1,Amino Acid Solution  (AMIACIIN1 | Amino Acid Solution ),4,Pharmacy,22,Injection,0.1,0,,0,54.6,,1/2/2023,yes,TRUE
Aminophylline  (AMINOPIN1 | Aminophylline ),AMINOPIN1,Aminophylline  (AMINOPIN1 | Aminophylline ),4,Pharmacy,24,Injection,250 mg/10 mL,25,,12,11.55,,1/3/2025,yes,TRUE
Amiodarone  (AMIODATA1 | Amiodarone ),AMIODATA1,Amiodarone  (AMIODATA1 | Amiodarone ),4,Pharmacy,25,Tablet,200 mg,0,,0,1.08,,1/2/2023,yes,TRUE
Amitriptyline Tablet 25 mg (AMITRITA2 | Amitriptyline Tablet 25 mg),AMITRITA2,Amitriptyline Tablet 25 mg,4,Pharmacy,,Tablet,25 mg,0.25,,0,0.18,,,yes,TRUE
Amitriptyline Tablet 50mg (AMITRITA3 | Amitriptyline Tablet 50mg),AMITRITA3,Amitriptyline Tablet 50mg,4,Pharmacy,28,Tablet,50 mg,2,,0,0.66,,1/3/2025,yes,TRUE
Amlodipine Tablet 10mg (AMLODITA2 | Amlodipine Tablet 10mg),AMLODITA2,Amlodipine Tablet 10mg,4,Pharmacy,29,Tablet,10 mg,0.2,,0.05,0.12,,1/3/2025,yes,TRUE
Amlodipine Tablet 5mg (AMLODITA1 | Amlodipine Tablet 5mg),AMLODITA1,Amlodipine Tablet 5mg,4,Pharmacy,30,Tablet,5 mg,0.2,,0.05,0.11,,1/3/2025,yes,TRUE
Amodiaquine + Artesunate  (270 mg + 100 mg 3s) (AMOARTTA5 | Amodiaquine + Artesunate ),AMOARTTA5,Amodiaquine + Artesunate  (270 mg + 100 mg 3s) (AMOARTTA5 | Amodiaquine + Artesunate ),4,Pharmacy,37,Tablet,270 mg + 100 mg 3s,5,,0,1.28,,1/3/2025,yes,TRUE
Amodiaquine + Artesunate (AMOARTTA1 | Amodiaquine + Artesunate),AMOARTTA1,Amodiaquine + Artesunate (AMOARTTA1 | Amodiaquine + Artesunate),4,Pharmacy,33,Tablet,67.5 mg + 25 mg 6 tabs,0.61,,0,5.15,,1/3/2025,yes,TRUE
Amoxicillin + Clavulanic Acid  ( 250 mg + 62 mg) (COAMOXSU1 | Amoxicillin + Clavulanic Acid ),COAMOXSU1,Amoxicillin + Clavulanic Acid  ( 250 mg + 62 mg) (COAMOXSU1 | Amoxicillin + Clavulanic Acid ),4,Pharmacy,41,Suspension,250 mg + 62 mg,22,,3,19.52,,1/3/2025,yes,TRUE
"Amoxicillin + Clavulanic Acid Injection, 1.2g (COAMOXIN2 | Amoxicillin + Clavulanic Acid Injection, 1.2g)",COAMOXIN2,"Amoxicillin + Clavulanic Acid Injection, 1.2g",,,,Injection,1.2g,22,,10,16.3,,,yes,TRUE
Amoxicillin Capsule 250mg (AMOXICCA1 | Amoxicillin Capsule 250mg),AMOXICCA1,Amoxicillin Capsule 250mg,4,Pharmacy,45,Capsule,250 mg,0.56,,0,0.47,,1/3/2025,yes,TRUE
Amoxicillin Capsule 500mg (AMOXICCA2 | Amoxicillin Capsule 500mg),AMOXICCA2,Amoxicillin Capsule 500mg,4,Pharmacy,46,Capsule,500 mg,1,,0,0.83,,1/3/2025,yes,TRUE
Amoxicillin Clavulanic Acid Injection 600mg (COAMOXIN1 | Amoxicillin Clavulanic Acid Injection 600mg),COAMOXIN1,Amoxicillin Clavulanic Acid Injection 600mg,4,Pharmacy,40,Injection,500 mg + 100 mg,20,,0,18.7,,1/3/2025,yes,TRUE
Amoxicillin Clavulanic Acid Suspension 457mg (COAMOXSU2 | Amoxicillin Clavulanic Acid Suspension 457mg),COAMOXSU2,Amoxicillin Clavulanic Acid Suspension 457mg,4,Pharmacy,42,Suspension,400 mg + 57 mg,30,,0,25.86,,1/3/2025,yes,TRUE
Amoxicillin Clavulanic Acid Tablet 625mg (COAMOXTA1 | Amoxicillin Clavulanic Acid Tablet 625mg),COAMOXTA1,Amoxicillin Clavulanic Acid Tablet 625mg,4,Pharmacy,43,Tablet,500 mg + 125 mg,2.57,,0.5,2.31,,1/3/2025,yes,TRUE
Amoxicillin Suspension 125mg/5ml (AMOXICSU1 | Amoxicillin Suspension 125mg/5ml),AMOXICSU1,Amoxicillin Suspension 125mg/5ml,4,Pharmacy,48,Suspension,125 mg/5 mL,17,,0,16.5,,1/3/2025,yes,TRUE
Ampicillin Injection 500mg (AMPICIIN1 | Ampicillin Injection 500mg),AMPICIIN1,Ampicillin Injection 500mg,4,Pharmacy,49,Injection,500 mg,5,,1,3.85,,1/3/2025,yes,TRUE
ANAESTHESIA MASK (NA | NA) (1374 | ANAESTHESIA MASK (NA | NA)),1374,ANAESTHESIA MASK (NA | NA),9,Non-Drug Consumables,1374,,,0,,0,,,,no,TRUE
Anastrozole  (ANASTRTA1 | Anastrozole ),ANASTRTA1,Anastrozole  (ANASTRTA1 | Anastrozole ),4,Pharmacy,50,Tablet,1 mg,0,,0,9.36,,1/2/2023,yes,TRUE
ANC TALLY BOOK (NA | ANC TALLY BOOK) (860 | ANC TALLY BOOK (NA | ANC TALLY BOOK)),860,ANC TALLY BOOK (NA | ANC TALLY BOOK),10,Stationery,860,,,0,,0,,,,no,TRUE
ANTENATAL REGISTER (NA | ANTENATAL REGISTER) (861 | ANTENATAL REGISTER (NA | ANTENATAL REGISTER)),861,ANTENATAL REGISTER (NA | ANTENATAL REGISTER),10,Stationery,861,,,0,,0,,,,no,TRUE
ANTI A (NA | ANTI A) (662 | ANTI A (NA | ANTI A)),662,ANTI A (NA | ANTI A),7,Laboratory Consumables,662,,,0,,0,,,,no,TRUE
ANTI B (NA | ANTI B) (663 | ANTI B (NA | ANTI B)),663,ANTI B (NA | ANTI B),7,Laboratory Consumables,663,,,0,,0,,,,no,TRUE
ANTI D (NA | ANTI D) (664 | ANTI D (NA | ANTI D)),664,ANTI D (NA | ANTI D),7,Laboratory Consumables,664,,,0,,0,,,,no,TRUE
ANTI RABIES VACCINE (M000553 | ANTI RABIES VACCINE),M000553,ANTI RABIES VACCINE (M000553 | ANTI RABIES VACCINE),4,Pharmacy,551,0,,0,,0,,,,no,TRUE
Anti RH Immunoglobulin  (ANIMGLIN1 | Anti RH Immunoglobulin ),ANIMGLIN1,Anti RH Immunoglobulin  (ANIMGLIN1 | Anti RH Immunoglobulin ),4,Pharmacy,51,Injection,1500IU /5ml,900,,80,827.2,,1/3/2025,yes,TRUE
ANTI SNAKE  (M000554 | ANTI SNAKE ),M000554,ANTI SNAKE  (M000554 | ANTI SNAKE ),4,Pharmacy,552,Serum,,0,,0,,,,no,TRUE
Anti Tetanus Serum 1500iu (ANTESEIN1 | Anti Tetanus Serum 1500iu),ANTESEIN1,Anti Tetanus Serum 1500iu,4,Pharmacy,553,Serum,1500IU,45,,0,42.85,,10/4/2025,yes,TRUE
ANTI-HUMAN GLOBULIN (NA | NA) (1111 | ANTI-HUMAN GLOBULIN (NA | NA)),1111,ANTI-HUMAN GLOBULIN (NA | NA),7,Laboratory Consumables,1111,,,0,,0,,,,no,TRUE
Aqueous Cream BP (AQUEOUCR1 | Aqueous Cream BP),AQUEOUCR1,Aqueous Cream BP (AQUEOUCR1 | Aqueous Cream BP),4,Pharmacy,52,Cream,,0,,0,29.98,,1/3/2025,yes,TRUE
ARCH FILE (NA | ARCH FILE) (862 | ARCH FILE (NA | ARCH FILE)),862,ARCH FILE (NA | ARCH FILE),10,Stationery,862,,,0,,0,,,,no,TRUE
ART Patient Register (NA | NA) (1381 | ART Patient Register (NA | NA)),1381,ART Patient Register (NA | NA),10,Stationery,1381,,,0,,0,,,,no,TRUE
Artemether  (ARTEMEIN2 | Artemether ),ARTEMEIN2,Artemether  (ARTEMEIN2 | Artemether ),4,Pharmacy,1094,Injection,80 mg/ml,0,,0,6.2,,1/2/2023,yes,TRUE
Artemether + Lumefantrine  (20 mg + 120 mg 12s) (ARTLUMTA3 | Artemether + Lumefantrine ),ARTLUMTA3,Artemether + Lumefantrine  (20 mg + 120 mg 12s) (ARTLUMTA3 | Artemether + Lumefantrine ),4,Pharmacy,56,Tablet,20 mg + 120 mg 12s,8,,0,1.25,,1/3/2025,yes,TRUE
Artemether + Lumefantrine  (20 mg + 120 mg 18s) (ARTLUMTA4 | Artemether + Lumefantrine ),ARTLUMTA4,Artemether + Lumefantrine  (20 mg + 120 mg 18s) (ARTLUMTA4 | Artemether + Lumefantrine ),4,Pharmacy,57,Tablet,20 mg + 120 mg 18s,8,,0,1.88,,1/3/2025,yes,TRUE
Artemether + Lumefantrine  (20 mg + 120 mg Disp.) (ARTLUMDT1 | Artemether + Lumefantrine ),ARTLUMDT1,Artemether + Lumefantrine  (20 mg + 120 mg Disp.) (ARTLUMDT1 | Artemether + Lumefantrine ),4,Pharmacy,58,Tablet,20 mg + 120 mg Disp.,0,,0,4.39,,1/3/2025,yes,TRUE
Artemether + Lumefantrine (20 mg + 120 mg 24s) (ARTLUMTA1 | Artemether + Lumefantrine),ARTLUMTA1,Artemether + Lumefantrine (20 mg + 120 mg 24s) (ARTLUMTA1 | Artemether + Lumefantrine),4,Pharmacy,54,Tablet,20 mg + 120 mg 24s,10,,0,2.24,,1/3/2025,yes,TRUE
Artemether + Lumefantrine (20 mg + 120 mg 6s) (ARTLUMTA2 | Artemether + Lumefantrine),ARTLUMTA2,Artemether + Lumefantrine (20 mg + 120 mg 6s) (ARTLUMTA2 | Artemether + Lumefantrine),4,Pharmacy,55,Tablet,20 mg + 120 mg 6s,8,,0,0.61,,1/3/2025,yes,TRUE
Artemether/ Lumefantrine Suspension (ARTLUMSU1 | Artemether/ Lumefantrine Suspension),ARTLUMSU1,Artemether/ Lumefantrine Suspension,4,Pharmacy,53,Suspension,20 mg + 120 mg / 5 mL (Powder),28,,0,25.85,,1/3/2025,yes,TRUE
ARTERY FORCEPS LONG STRAIGHT (NA | ARTERY FORCEPS LONG STRAIGHT) (975 | ARTERY FORCEPS LONG STRAIGHT (NA | ARTERY FORCEPS LONG STRAIGHT)),975,ARTERY FORCEPS LONG STRAIGHT (NA | ARTERY FORCEPS LONG STRAIGHT),11,Non-Consumables,975,,,0,,0,,,,no,TRUE
ARTERY FORCEPS SMALL CURVE (NA | ARTERY FORCEPS SMALL CURVE) (976 | ARTERY FORCEPS SMALL CURVE (NA | ARTERY FORCEPS SMALL CURVE)),976,ARTERY FORCEPS SMALL CURVE (NA | ARTERY FORCEPS SMALL CURVE),11,Non-Consumables,976,,,0,,0,,,,no,TRUE
ARTERY FORCEPS SMALL STRAIGHT (NA | ARTERY FORCEPS SMALL STRAIGHT) (977 | ARTERY FORCEPS SMALL STRAIGHT (NA | ARTERY FORCEPS SMALL STRAIGHT)),977,ARTERY FORCEPS SMALL STRAIGHT (NA | ARTERY FORCEPS SMALL STRAIGHT),11,Non-Consumables,977,,,0,,0,,,,no,TRUE
Artesunate  (100mg) (ARTESURE2 | Artesunate ),ARTESURE2,Artesunate  (100mg) (ARTESURE2 | Artesunate ),4,Pharmacy,63,Suppository,100mg,0,,0,6.05,,1/3/2025,yes,TRUE
Artesunate  (50 mg) (ARTESURE1 | Artesunate ),ARTESURE1,Artesunate  (50 mg) (ARTESURE1 | Artesunate ),4,Pharmacy,62,Suppository,50 mg,0,,0,5.49,,1/3/2025,yes,TRUE
Artesunate Injection 120mg (ARTESUIN3 | Artesunate Injection 120mg),ARTESUIN3,Artesunate Injection 120mg,4,Pharmacy,61,Injection,120 mg,10,,5,6.25,,1/3/2025,yes,TRUE
Artesunate Injection 30mg (ARTESUIN1 | Artesunate Injection 30mg),ARTESUIN1,Artesunate Injection 30mg,4,Pharmacy,59,Injection,30 mg,7,,3,3.18,,1/3/2025,yes,TRUE
Artesunate Injection 60mg (ARTESUIN2 | Artesunate Injection 60mg),ARTESUIN2,Artesunate Injection 60mg,4,Pharmacy,60,Injection,60 mg,8,,5,3.18,,1/3/2025,yes,TRUE
Artesunate/ Amodiaquine Tablet 100/270mg (6 Tablets) (AMOARTTA6 | Artesunate/ Amodiaquine Tablet 100/270mg (6 Tablets)),AMOARTTA6,Artesunate/ Amodiaquine Tablet 100/270mg (6 Tablets),4,Pharmacy,38,Tablet,270 mg + 100 mg 6s,3,,0,2.15,,1/3/2025,yes,TRUE
Artesunate/Amodiaquine Powder 50mg/150mg (AMOARTPO2 | Artesunate/Amodiaquine Powder 50mg/150mg),AMOARTPO2,Artesunate/Amodiaquine Powder 50mg/150mg,4,Pharmacy,31,Powder,150 mg + 50 mg,10,,0,5.78,,1/3/2025,yes,TRUE
Artesunate/Amodiaquine Sachet Powder 25mg/75mg (AMOARTPO1 | Artesunate/Amodiaquine Sachet Powder 25mg/75mg),AMOARTPO1,Artesunate/Amodiaquine Sachet Powder 25mg/75mg,4,Pharmacy,32,Powder,75 mg + 25 mg,15,,0,13.97,,1/3/2025,yes,TRUE
Artesunate/Amodiaquine Tablet 25/67.5mg (6 Tablets) (AMOARTTA3 | Artesunate/Amodiaquine Tablet 25/67.5mg (6 Tablets)),AMOARTTA3,Artesunate/Amodiaquine Tablet 25/67.5mg (6 Tablets),4,Pharmacy,35,Tablet,67.5 mg + 25 mg 3s,5,,0,0.65,,1/3/2025,yes,TRUE
Artesunate/Amodiaquine Tablet 50/135mg (12 Tablets) (AMOARTTA2 | Artesunate/Amodiaquine Tablet 50/135mg (12 Tablets)),AMOARTTA2,Artesunate/Amodiaquine Tablet 50/135mg (12 Tablets),4,Pharmacy,34,Tablet,135 mg + 50 mg 12 tabs,10,,0,5.07,,1/3/2025,yes,TRUE
Artesunate/Amodiaquine Tablet 50/135mg (3 Tablets) (AMOARTTA4 | Artesunate/Amodiaquine Tablet 50/135mg (3 Tablets)),AMOARTTA4,Artesunate/Amodiaquine Tablet 50/135mg (3 Tablets),4,Pharmacy,36,Tablet,135 mg + 50 mg 3s,5,,0,0.7,,1/3/2025,yes,TRUE
ASCORBIC ACID 100 MG  (M000556 | ASCORBIC ACID ) (Tablet),M000556,ASCORBIC ACID 100 MG  (M000556 | ASCORBIC ACID ) (Tablet),4,Pharmacy,554,Tablet,100 MG,0.2,,0,,,,no,TRUE
Ascorbic Acid 1000 MG(M000602 | Ascorbic Acid) (Tablet),M000602,Ascorbic Acid 1000 MG(M000602 | Ascorbic Acid) (Tablet),4,Pharmacy,1101,Tablet,1000mg,25,,0,,,,no,TRUE
Ascorbic Acid Syrup (M000652 | Ascorbic Acid Syrup),M000652,Ascorbic Acid Syrup,4,Pharmacy,1179,0,,11,,0,,,,no,TRUE
ASSORTED FRAMES ADULTS (NA | ASSORTED FRAMES ADULTS) (978 | ASSORTED FRAMES ADULTS (NA | ASSORTED FRAMES ADULTS)),978,ASSORTED FRAMES ADULTS (NA | ASSORTED FRAMES ADULTS),11,Non-Consumables,978,,,0,,0,,,,no,TRUE
Atenolol Tablet 25mg (ATEHYDTA1 | Atenolol Tablet 25mg),ATEHYDTA1,Atenolol Tablet 25mg,4,Pharmacy,65,Tablet,50 mg + 25 mg,0,,0,,,,no,TRUE
Atenolol Tablet 50mg (ATENOLTA2 | Atenolol Tablet 50mg),ATENOLTA2,Atenolol Tablet 50mg,4,Pharmacy,69,Tablet,50 mg,0.6,,0,0.54,,1/3/2025,yes,TRUE
Atorvastatin (M000679 | Atorvastatin),M000679,Atorvastatin (M000679 | Atorvastatin),4,Pharmacy,1356,Tablet,10 mg,0.5,,0,,,,no,TRUE
Atropine  (ATROPIID1 | Atropine ),ATROPIID1,Atropine  (ATROPIID1 | Atropine ),4,Pharmacy,72,Drops,0.01,0,,0,36.3,,1/3/2025,yes,TRUE
Atropine Injection 0.6mg/ml (ATROPIIN1 | Atropine Injection 0.6mg/ml),ATROPIIN1,Atropine Injection 0.6mg/ml,4,Pharmacy,73,Injection,0.6 mg/mL,6,,0,5.5,,1/3/2025,yes,TRUE
