Product N,Medication Code,Product Name,Sub Category 1,Sub Category 2,Product ID,Formulation,Strength,Base Rate,NHIA App,NHIA Claim Co-Payment,Claim Amount,NHIA Claim,Bill Effective,Insurance Covered,Is Active
Etoposide  (ETOPOSIN1 | Etoposide ),ETOPOSIN1,Etoposide  (ETOPOSIN1 | Etoposide ),4,Pharmacy,243,Injection,100 mg,0,,0,48.84,,1/2/2023,yes,TRUE
EXAMINATION BED (NA | NA) (1116 | EXAMINATION BED (NA | NA)),1116,EXAMINATION BED (NA | NA),11,Non-Consumables,1116,,,0,,0,,,,no,TRUE
EXAMINATION GLOVES (NA | EXAMINATION GLOVES) (756 | EXAMINATION GLOVES (NA | EXAMINATION GLOVES)),756,EXAMINATION GLOVES (NA | EXAMINATION GLOVES),9,Non-Drug Consumables,756,,,1,,0,,,,no,TRUE
EXAMINATION LAMP (NA | EXAMINATION LAMP) (619 | EXAMINATION LAMP (NA | EXAMINATION LAMP)),619,EXAMINATION LAMP (NA | EXAMINATION LAMP),5,Consumables,619,,,2800,,0,,,,no,TRUE
EXERCISE BOOK (NA | EXERCISE BOOK) (886 | EXERCISE BOOK (NA | EXERCISE BOOK)),886,EXERCISE BOOK (NA | EXERCISE BOOK),10,Stationery,886,,,0,,0,,,,no,TRUE
EXTERNAL  HARD DRIVE (NA | EXTERNAL  HARD DRIVE) (887 | EXTERNAL  HARD DRIVE (NA | EXTERNAL  HARD DRIVE)),887,EXTERNAL  HARD DRIVE (NA | EXTERNAL  HARD DRIVE),10,Stationery,887,,,0,,0,,,,no,TRUE
ezipen100mgg+500mg (M000632 | NA),M000632,ezipen100mgg+500mg (M000632 | NA),4,Pharmacy,1159,0,,0,,0,,,,no,TRUE
FACE MASK (NA | FACE MASK) (757 | FACE MASK (NA | FACE MASK)),757,FACE MASK (NA | FACE MASK),9,Non-Drug Consumables,757,,,0,,0,,,,no,TRUE
FACE MASK N95 (NA | FACE MASK N95) (758 | FACE MASK N95 (NA | FACE MASK N95)),758,FACE MASK N95 (NA | FACE MASK N95),9,Non-Drug Consumables,758,,,0,,0,,,,no,TRUE
FACE SHIELD (NA | FACE SHIELD) (759 | FACE SHIELD (NA | FACE SHIELD)),759,FACE SHIELD (NA | FACE SHIELD),9,Non-Drug Consumables,759,,,0,,0,,,,no,TRUE
Family Planning Record Book (NA | NA) (1366 | Family Planning Record Book (NA | NA)),1366,Family Planning Record Book (NA | NA),10,Stationery,1366,,,0,,0,,,,no,TRUE
FAN REGULATOR (NA | FAN REGULATOR) (760 | FAN REGULATOR (NA | FAN REGULATOR)),760,FAN REGULATOR (NA | FAN REGULATOR),9,Non-Drug Consumables,760,,,0,,0,,,,no,TRUE
